60-64,Country,50-54,55-59,70-74,65-69,Year,Country_Name,Male,Cause,75 +
0.0,2045,0.0,0.0,0.0,0.0,1997,Belize,0,I499,3.0
1.0,2045,0.0,0.0,1.0,4.0,1997,Belize,1,I500,2.0
1.0,2045,0.0,0.0,3.0,3.0,1997,Belize,0,I500,5.0
0.0,2045,0.0,0.0,0.0,0.0,1997,Belize,0,I501,1.0
0.0,2045,0.0,1.0,2.0,1.0,1997,Belize,1,I509,2.0
0.0,2045,0.0,0.0,0.0,0.0,1997,Belize,0,I509,9.0
0.0,2045,0.0,1.0,0.0,0.0,1997,Belize,0,I516,0.0
0.0,2045,0.0,0.0,0.0,0.0,1997,Belize,1,I517,0.0
0.0,2045,0.0,0.0,1.0,0.0,1997,Belize,1,I519,0.0
0.0,2045,0.0,0.0,0.0,1.0,1997,Belize,0,I519,0.0
0.0,2045,0.0,0.0,0.0,0.0,1997,Belize,0,I607,0.0
0.0,2045,0.0,0.0,0.0,0.0,1997,Belize,1,I609,0.0
0.0,2045,0.0,0.0,0.0,0.0,1997,Belize,0,I615,0.0
0.0,2045,0.0,1.0,1.0,1.0,1997,Belize,1,I619,0.0
1.0,2045,0.0,2.0,0.0,1.0,1997,Belize,0,I619,0.0
0.0,2045,0.0,0.0,0.0,0.0,1997,Belize,0,I620,0.0
0.0,2045,0.0,0.0,0.0,0.0,1997,Belize,1,I629,0.0
0.0,2045,0.0,0.0,0.0,0.0,1997,Belize,0,I639,1.0
3.0,2045,2.0,2.0,5.0,4.0,1997,Belize,1,I64,9.0
2.0,2045,1.0,2.0,3.0,1.0,1997,Belize,0,I64,19.0
0.0,2045,0.0,0.0,0.0,0.0,1997,Belize,1,I694,1.0
0.0,2045,0.0,0.0,0.0,0.0,1997,Belize,1,I709,1.0
0.0,2045,0.0,0.0,1.0,0.0,1997,Belize,0,I709,3.0
0.0,2045,0.0,0.0,0.0,0.0,1997,Belize,1,I829,1.0
4.0,2045,1.0,2.0,1.0,5.0,1998,Belize,1,I10,14.0
2.0,2045,5.0,1.0,5.0,3.0,1998,Belize,0,I10,16.0
0.0,2045,0.0,0.0,0.0,0.0,1998,Belize,1,I209,1.0
3.0,2045,3.0,2.0,6.0,3.0,1998,Belize,1,I219,8.0
0.0,2045,2.0,1.0,2.0,5.0,1998,Belize,0,I219,8.0
0.0,2045,0.0,0.0,0.0,0.0,1998,Belize,1,I251,1.0
0.0,2045,0.0,0.0,0.0,0.0,1998,Belize,0,I251,6.0
0.0,2045,0.0,0.0,0.0,0.0,1998,Belize,0,I255,1.0
1.0,2045,0.0,0.0,2.0,2.0,1998,Belize,1,I259,5.0
0.0,2045,0.0,0.0,0.0,2.0,1998,Belize,0,I259,2.0
0.0,2045,0.0,1.0,1.0,0.0,1998,Belize,1,I269,0.0
1.0,2045,0.0,0.0,0.0,0.0,1998,Belize,0,I269,2.0
0.0,2045,0.0,1.0,0.0,0.0,1998,Belize,1,I279,0.0
1.0,2045,0.0,1.0,2.0,0.0,1998,Belize,1,I469,9.0
2.0,2045,1.0,2.0,3.0,0.0,1998,Belize,0,I469,5.0
0.0,2045,0.0,1.0,0.0,0.0,1998,Belize,0,I470,0.0
0.0,2045,0.0,0.0,0.0,0.0,1998,Belize,0,I490,1.0
0.0,2045,0.0,0.0,0.0,0.0,1998,Belize,0,I499,1.0
0.0,2045,0.0,1.0,0.0,0.0,1998,Belize,1,I500,4.0
0.0,2045,1.0,0.0,0.0,0.0,1998,Belize,0,I500,3.0
0.0,2045,0.0,0.0,0.0,0.0,1998,Belize,0,I501,1.0
1.0,2045,0.0,0.0,0.0,0.0,1998,Belize,1,I509,2.0
0.0,2045,0.0,0.0,0.0,0.0,1998,Belize,0,I509,6.0
0.0,2045,0.0,0.0,0.0,0.0,1998,Belize,1,I517,0.0
0.0,2045,0.0,0.0,0.0,0.0,1998,Belize,1,I519,1.0
0.0,2045,0.0,0.0,0.0,0.0,1998,Belize,1,I609,0.0
1.0,2045,0.0,1.0,2.0,2.0,1998,Belize,1,I619,2.0
0.0,2045,0.0,2.0,1.0,1.0,1998,Belize,0,I619,1.0
0.0,2045,0.0,0.0,0.0,0.0,1998,Belize,1,I629,0.0
0.0,2045,0.0,0.0,0.0,0.0,1998,Belize,0,I629,0.0
0.0,2045,1.0,0.0,0.0,0.0,1998,Belize,1,I630,0.0
2.0,2045,2.0,2.0,2.0,6.0,1998,Belize,1,I64,21.0
4.0,2045,0.0,0.0,1.0,2.0,1998,Belize,0,I64,29.0
0.0,2045,1.0,0.0,0.0,0.0,1998,Belize,1,I671,0.0
0.0,2045,0.0,0.0,1.0,0.0,1998,Belize,0,I694,0.0
2.0,2045,0.0,0.0,0.0,0.0,1998,Belize,1,I709,8.0
0.0,2045,0.0,0.0,1.0,0.0,1998,Belize,0,I709,11.0
0.0,2045,0.0,0.0,0.0,0.0,1998,Belize,0,I719,0.0
0.0,2045,1.0,0.0,0.0,0.0,1998,Belize,0,I729,0.0
0.0,2045,0.0,0.0,0.0,0.0,1998,Belize,1,I749,1.0
0.0,2045,0.0,0.0,0.0,0.0,1998,Belize,1,I959,1.0
0.0,2045,0.0,0.0,0.0,0.0,1998,Belize,0,I959,1.0
5.0,2045,0.0,5.0,6.0,2.0,1999,Belize,1,I10,11.0
3.0,2045,1.0,4.0,4.0,4.0,1999,Belize,0,I10,19.0
0.0,2045,0.0,2.0,0.0,1.0,1999,Belize,1,I119,1.0
0.0,2045,0.0,0.0,0.0,0.0,1999,Belize,0,I119,1.0
0.0,2045,0.0,0.0,0.0,0.0,1999,Belize,1,I129,1.0
0.0,2045,0.0,0.0,0.0,0.0,1999,Belize,1,I209,0.0
0.0,2045,2.0,3.0,2.0,5.0,1999,Belize,1,I219,4.0
0.0,2045,0.0,2.0,5.0,1.0,1999,Belize,0,I219,2.0
1.0,2045,0.0,0.0,2.0,0.0,1999,Belize,1,I251,0.0
0.0,2045,0.0,0.0,1.0,0.0,1999,Belize,0,I251,2.0
0.0,2045,0.0,0.0,0.0,0.0,1999,Belize,1,I255,1.0
2.0,2045,0.0,0.0,0.0,0.0,1999,Belize,1,I259,3.0
0.0,2045,0.0,0.0,0.0,0.0,1999,Belize,0,I259,4.0
0.0,2045,0.0,0.0,2.0,0.0,1999,Belize,1,I269,2.0
0.0,2045,0.0,0.0,2.0,0.0,1999,Belize,0,I269,3.0
0.0,2045,0.0,0.0,1.0,0.0,1999,Belize,1,I270,0.0
0.0,2045,0.0,0.0,0.0,0.0,1999,Belize,0,I270,0.0
0.0,2045,0.0,0.0,1.0,0.0,1999,Belize,1,I279,0.0
0.0,2045,0.0,0.0,0.0,1.0,1999,Belize,1,I447,0.0
0.0,2045,0.0,0.0,0.0,0.0,1999,Belize,1,I454,1.0
0.0,2045,0.0,0.0,0.0,0.0,1999,Belize,1,I459,0.0
0.0,2045,0.0,0.0,0.0,0.0,1999,Belize,0,I459,0.0
1.0,2045,0.0,4.0,0.0,0.0,1999,Belize,1,I469,3.0
2.0,2045,1.0,0.0,2.0,1.0,1999,Belize,0,I469,4.0
0.0,2045,0.0,0.0,0.0,0.0,1999,Belize,0,I471,0.0
0.0,2045,0.0,0.0,0.0,0.0,1999,Belize,0,I490,1.0
0.0,2045,0.0,0.0,1.0,0.0,1999,Belize,0,I499,1.0
1.0,2045,0.0,0.0,2.0,2.0,1999,Belize,1,I500,4.0
1.0,2045,1.0,0.0,0.0,0.0,1999,Belize,0,I500,1.0
0.0,2045,0.0,0.0,0.0,1.0,1999,Belize,1,I501,0.0
1.0,2045,0.0,0.0,2.0,0.0,1999,Belize,1,I509,6.0
0.0,2045,0.0,0.0,2.0,1.0,1999,Belize,0,I509,7.0
0.0,2045,0.0,0.0,0.0,0.0,1999,Belize,1,I514,0.0
0.0,2045,0.0,0.0,0.0,0.0,1999,Belize,1,I517,1.0
0.0,2045,0.0,1.0,0.0,0.0,1999,Belize,1,I519,2.0
0.0,2045,0.0,0.0,0.0,1.0,1999,Belize,1,I609,0.0
0.0,2045,0.0,0.0,0.0,0.0,1999,Belize,0,I609,0.0
0.0,2045,0.0,0.0,0.0,0.0,1999,Belize,1,I615,0.0
0.0,2045,0.0,0.0,2.0,1.0,1999,Belize,1,I619,0.0
0.0,2045,1.0,0.0,0.0,2.0,1999,Belize,0,I619,0.0
0.0,2045,0.0,0.0,0.0,0.0,1999,Belize,1,I629,0.0
0.0,2045,0.0,0.0,1.0,0.0,1999,Belize,1,I635,0.0
0.0,2045,0.0,0.0,1.0,0.0,1999,Belize,0,I639,0.0
4.0,2045,1.0,2.0,6.0,3.0,1999,Belize,1,I64,15.0
0.0,2045,0.0,4.0,2.0,1.0,1999,Belize,0,I64,16.0
0.0,2045,0.0,0.0,0.0,0.0,1999,Belize,1,I671,0.0
0.0,2045,0.0,0.0,1.0,0.0,1999,Belize,0,I672,0.0
0.0,2045,0.0,0.0,0.0,0.0,1999,Belize,0,I678,1.0
0.0,2045,0.0,0.0,1.0,0.0,1999,Belize,1,I694,2.0
0.0,2045,0.0,0.0,0.0,0.0,1999,Belize,0,I694,1.0
0.0,2045,0.0,0.0,0.0,0.0,1999,Belize,0,I708,0.0
1.0,2045,0.0,0.0,0.0,0.0,1999,Belize,1,I709,2.0
1.0,2045,0.0,0.0,2.0,0.0,1999,Belize,0,I709,1.0
0.0,2045,0.0,0.0,1.0,0.0,1999,Belize,0,I710,0.0
0.0,2045,1.0,0.0,0.0,0.0,1999,Belize,0,I729,0.0
1.0,2045,0.0,0.0,0.0,0.0,1999,Belize,1,I749,0.0
0.0,2045,0.0,0.0,0.0,0.0,1999,Belize,0,I889,0.0
2.0,2045,8.0,10.0,16.0,14.0,2000,Belize,1,I10,36.0
12.0,2045,6.0,6.0,14.0,16.0,2000,Belize,0,I10,28.0
4.0,2045,2.0,0.0,6.0,2.0,2000,Belize,1,I219,12.0
0.0,2045,0.0,0.0,2.0,4.0,2000,Belize,0,I219,8.0
0.0,2045,0.0,2.0,0.0,0.0,2000,Belize,1,I248,0.0
2.0,2045,0.0,0.0,0.0,0.0,2000,Belize,0,I248,0.0
2.0,2045,0.0,0.0,2.0,0.0,2000,Belize,1,I251,8.0
0.0,2045,0.0,0.0,0.0,0.0,2000,Belize,0,I251,8.0
0.0,2045,0.0,0.0,6.0,4.0,2000,Belize,1,I259,4.0
2.0,2045,4.0,0.0,2.0,2.0,2000,Belize,0,I259,8.0
2.0,2045,0.0,0.0,2.0,6.0,2000,Belize,1,I269,2.0
0.0,2045,0.0,2.0,2.0,0.0,2000,Belize,0,I269,6.0
0.0,2045,0.0,0.0,0.0,0.0,2000,Belize,1,I270,2.0
0.0,2045,0.0,0.0,0.0,0.0,2000,Belize,0,I270,0.0
2.0,2045,2.0,0.0,0.0,0.0,2000,Belize,0,I279,0.0
0.0,2045,0.0,0.0,2.0,0.0,2000,Belize,1,I340,0.0
0.0,2045,2.0,0.0,0.0,0.0,2000,Belize,0,I340,0.0
0.0,2045,0.0,0.0,0.0,0.0,2000,Belize,1,I420,2.0
0.0,2045,0.0,0.0,0.0,0.0,2000,Belize,1,I424,0.0
0.0,2045,0.0,0.0,0.0,0.0,2000,Belize,1,I429,0.0
0.0,2045,0.0,0.0,0.0,0.0,2000,Belize,0,I429,0.0
4.0,2045,0.0,0.0,2.0,4.0,2000,Belize,1,I469,14.0
0.0,2045,0.0,0.0,2.0,4.0,2000,Belize,0,I469,10.0
2.0,2045,0.0,0.0,4.0,0.0,2000,Belize,1,I490,0.0
0.0,2045,0.0,0.0,0.0,0.0,2000,Belize,0,I490,4.0
0.0,2045,0.0,0.0,0.0,0.0,2000,Belize,1,I499,4.0
